"cluster_membership","lat_round","lon_round"
"14",41.93,-72.629
"8",41.8,-72.661
"8",41.8,-72.661
"8",41.8,-72.661
"8",41.768,-72.687
"8",41.768,-72.687
"8",41.768,-72.687
"8",41.768,-72.687
"8",41.768,-72.687
"8",41.768,-72.687
"8",41.769,-72.663
"8",41.769,-72.663
"8",41.769,-72.663
"8",41.769,-72.663
"8",41.769,-72.663
"8",41.769,-72.663
"13",41.693,-72.547
"13",41.693,-72.547
"13",41.693,-72.547
"2",41.699,-72.891
"2",41.699,-72.891
"2",41.699,-72.891
"2",41.699,-72.891
"2",41.699,-72.891
"2",41.699,-72.89
"2",41.673,-72.91
"2",41.673,-72.91
"2",41.673,-72.91
"2",41.673,-72.911
"2",41.673,-72.911
"2",41.673,-72.911
"14",42.016,-72.529
"14",42.016,-72.529
"14",42.016,-72.529
"8",41.718,-72.769
"15",41.718,-72.769
"15",41.718,-72.769
"8",41.718,-72.769
"15",41.718,-72.769
"15",41.718,-72.769
"19",41.891,-72.289
"19",41.891,-72.289
"19",41.891,-72.289
"19",41.799,-72.332
"19",41.799,-72.332
"19",41.799,-72.332
"8",41.78,-72.689
"8",41.78,-72.689
"8",41.78,-72.689
"8",41.78,-72.689
"8",41.78,-72.689
"8",41.78,-72.689
"15",41.655,-72.721
"15",41.655,-72.721
"15",41.655,-72.721
"15",41.655,-72.721
"15",41.655,-72.721
"15",41.655,-72.721
"20",41.599,-72.852
"20",41.599,-72.852
"20",41.599,-72.852
"18",41.929,-71.886
"18",41.929,-71.886
"18",41.929,-71.886
"18",41.929,-71.886
"18",41.929,-71.886
"18",41.929,-71.886
"2",41.622,-72.974
"10",41.622,-72.974
"10",41.622,-72.974
"2",41.622,-72.974
"10",41.622,-72.974
"10",41.622,-72.974
"19",41.94,-72.237
"19",41.94,-72.237
"19",41.94,-72.237
"2",41.834,-72.933
"2",41.834,-72.933
"2",41.834,-72.933
"1",41.894,-72.996
"1",41.894,-72.996
"1",41.894,-72.996
"2",41.782,-72.99
"2",41.782,-72.99
"2",41.782,-72.99
"1",41.828,-73.016
"1",41.828,-73.016
"1",41.828,-73.016
"1",41.823,-73.077
"1",41.823,-73.077
"1",41.823,-73.077
"1",41.823,-73.077
"1",41.823,-73.077
"1",41.823,-73.077
"2",41.73,-72.835
"2",41.73,-72.835
"2",41.73,-72.835
"2",41.73,-72.835
"2",41.73,-72.835
"2",41.73,-72.835
"19",41.977,-72.383
"19",41.977,-72.383
"14",41.977,-72.383
"1",41.886,-72.966
"1",41.886,-72.966
"1",41.886,-72.966
"19",41.738,-72.35
"19",41.738,-72.35
"19",41.738,-72.35
"2",41.767,-72.962
"2",41.767,-72.962
"2",41.767,-72.962
"18",41.656,-72.523
"13",41.656,-72.523
"13",41.656,-72.523
"18",41.656,-72.523
"18",41.656,-72.523
"13",41.656,-72.523
"10",41.594,-73.051
"10",41.594,-73.05
"10",41.594,-73.051
"10",41.594,-73.051
"2",41.63,-73.057
"10",41.63,-73.057
"10",41.63,-73.057
"10",41.534,-72.969
"20",41.534,-72.969
"10",41.534,-72.969
"10",41.534,-72.969
"10",41.534,-72.969
"10",41.534,-72.969
"10",41.56,-73.059
"10",41.56,-73.059
"10",41.56,-73.059
"10",41.559,-73.059
"10",41.559,-73.059
"10",41.559,-73.059
"10",41.536,-73.089
"10",41.536,-73.089
"10",41.536,-73.089
"10",41.536,-73.089
"10",41.536,-73.089
"10",41.536,-73.089
"10",41.603,-73.112
"10",41.603,-73.112
"10",41.603,-73.112
"10",41.603,-73.112
"10",41.603,-73.112
"10",41.603,-73.112
"1",41.766,-73.179
"1",41.766,-73.179
"1",41.766,-73.179
"1",41.766,-73.179
"1",41.766,-73.179
"1",41.766,-73.179
"1",41.737,-73.097
"1",41.737,-73.097
"1",41.737,-73.097
"1",41.8,-73.124
"1",41.8,-73.124
"1",41.8,-73.124
"1",41.8,-73.124
"1",41.8,-73.124
"1",41.8,-73.124
"1",42.015,-73.326
"1",42.015,-73.326
"1",42.015,-73.326
"14",41.834,-72.603
"14",41.834,-72.603
"14",41.834,-72.603
"8",41.82,-72.667
"8",41.82,-72.667
"8",41.82,-72.667
"14",41.981,-72.657
"14",41.981,-72.657
"14",41.981,-72.657
"14",41.836,-72.552
"14",41.836,-72.552
"14",41.836,-72.552
"14",41.876,-72.565
"14",41.876,-72.565
"14",41.876,-72.565
"13",41.623,-72.679
"13",41.623,-72.679
"13",41.623,-72.679
"13",41.557,-72.743
"16",41.557,-72.743
"16",41.557,-72.743
"13",41.546,-72.715
"13",41.546,-72.715
"13",41.546,-72.715
"13",41.695,-72.709
"15",41.695,-72.709
"8",41.695,-72.709
"13",41.695,-72.709
"15",41.695,-72.709
"8",41.695,-72.709
"13",41.742,-72.634
"13",41.742,-72.634
"13",41.742,-72.634
"13",41.742,-72.634
"8",41.752,-72.66
"8",41.752,-72.66
"8",41.82,-72.696
"8",41.82,-72.696
"8",41.82,-72.696
"2",41.806,-72.842
"2",41.806,-72.842
"2",41.806,-72.842
"2",41.806,-72.842
"14",41.989,-72.592
"14",41.989,-72.592
"14",41.989,-72.592
"14",41.989,-72.592
"14",41.989,-72.592
"14",41.989,-72.592
"2",41.867,-72.816
"2",41.867,-72.816
"2",41.867,-72.816
"2",41.867,-72.816
"2",41.867,-72.816
"2",41.867,-72.816
"15",41.689,-72.769
"15",41.689,-72.769
"15",41.689,-72.769
"15",41.689,-72.768
"15",41.689,-72.768
"15",41.689,-72.768
"19",41.785,-72.136
"19",41.785,-72.136
"19",41.785,-72.136
"8",41.797,-72.797
"8",41.797,-72.797
"2",41.797,-72.797
"5",41.791,-73.426
"5",41.791,-73.426
"1",41.791,-73.426
"8",41.8,-72.694
"8",41.8,-72.694
"8",41.8,-72.694
"8",41.8,-72.694
"8",41.8,-72.694
"8",41.8,-72.694
"10",41.566,-73.038
"10",41.566,-73.038
"10",41.566,-73.038
"15",41.668,-72.755
"15",41.668,-72.755
"15",41.668,-72.755
"15",41.668,-72.755
"15",41.668,-72.755
"15",41.668,-72.755
"10",41.57,-73.095
"10",41.57,-73.095
"10",41.57,-73.095
"2",41.977,-72.888
"2",41.977,-72.888
"2",41.977,-72.888
"10",41.568,-73.18
"10",41.568,-73.18
"10",41.568,-73.18
"2",41.966,-72.855
"2",41.966,-72.855
"2",41.966,-72.855
"10",41.557,-73.257
"10",41.557,-73.257
"10",41.557,-73.257
"10",41.667,-73.17
"10",41.667,-73.17
"10",41.667,-73.17
"2",41.788,-72.918
"2",41.788,-72.918
"2",41.788,-72.918
"14",41.998,-72.584
"14",41.998,-72.584
"1",41.823,-73.055
"1",41.823,-73.055
"1",41.823,-73.055
"1",41.757,-73.053
"1",41.757,-73.053
"1",41.757,-73.053
"1",41.909,-73.366
"1",41.909,-73.366
"1",41.909,-73.366
"1",42.003,-73.221
"1",42.003,-73.221
"19",41.752,-72.269
"19",41.752,-72.269
"19",41.752,-72.269
"14",41.897,-72.394
"14",41.897,-72.394
"14",41.897,-72.394
"19",41.945,-72.318
"19",41.945,-72.318
"19",41.945,-72.318
"1",41.915,-73.022
"1",41.915,-73.022
"1",41.915,-73.022
"18",41.987,-71.914
"18",41.987,-71.914
"18",41.987,-71.914
"8",41.741,-72.683
"8",41.741,-72.683
"8",41.741,-72.683
"8",41.741,-72.683
"8",41.741,-72.683
"8",41.741,-72.683
"8",41.835,-72.741
"8",41.835,-72.741
"8",41.835,-72.741
"8",41.835,-72.741
"8",41.835,-72.741
"8",41.835,-72.741
"14",41.877,-72.611
"14",41.877,-72.611
"8",41.877,-72.611
"8",41.785,-72.749
"8",41.785,-72.749
"8",41.785,-72.749
"8",41.785,-72.749
"8",41.785,-72.749
"8",41.785,-72.749
"8",41.788,-72.625
"8",41.788,-72.625
"8",41.788,-72.625
"8",41.795,-72.716
"8",41.795,-72.716
"8",41.795,-72.716
"8",41.757,-72.714
"8",41.757,-72.714
"8",41.757,-72.714
"8",41.757,-72.714
"8",41.757,-72.714
"8",41.757,-72.714
"19",41.836,-72.308
"19",41.836,-72.308
"19",41.836,-72.308
"1",41.873,-73.088
"1",41.873,-73.088
"1",41.873,-73.088
"1",41.873,-73.089
"1",41.873,-73.089
"1",41.873,-73.089
"13",41.511,-72.671
"13",41.511,-72.671
"13",41.511,-72.671
"14",41.772,-72.556
"14",41.772,-72.556
"14",41.772,-72.556
"20",41.556,-72.917
"20",41.556,-72.917
"20",41.556,-72.917
"16",41.508,-72.809
"16",41.508,-72.809
"16",41.508,-72.809
"16",41.508,-72.81
"16",41.508,-72.81
"16",41.508,-72.81
"16",41.551,-72.807
"16",41.551,-72.807
"16",41.551,-72.807
"16",41.551,-72.807
"16",41.551,-72.807
"16",41.551,-72.807
"16",41.542,-72.753
"16",41.542,-72.753
"16",41.542,-72.753
"18",41.93,-71.989
"18",41.93,-71.989
"18",41.93,-71.989
"2",41.954,-72.794
"2",41.954,-72.794
"2",41.954,-72.794
"10",41.59,-73.17
"10",41.59,-73.17
"10",41.59,-73.17
"8",41.734,-72.744
"8",41.734,-72.744
"8",41.734,-72.744
"19",41.779,-72.465
"19",41.779,-72.465
"14",41.779,-72.465
"1",41.851,-72.949
"2",41.851,-72.949
"1",41.851,-72.949
"1",41.862,-73.4
"1",41.862,-73.4
"1",41.862,-73.4
"17",41.355,-73.012
"17",41.355,-73.012
"17",41.355,-73.012
"1",41.797,-73.222
"1",41.797,-73.222
"1",41.797,-73.222
"18",41.616,-72.436
"18",41.616,-72.436
"18",41.616,-72.436
"13",41.562,-72.574
"13",41.562,-72.574
"13",41.562,-72.574
"19",41.696,-72.097
"19",41.696,-72.097
"19",41.696,-72.097
"8",41.761,-72.668
"8",41.761,-72.668
"8",41.761,-72.668
"8",41.762,-72.668
"8",41.762,-72.668
"8",41.762,-72.668
"14",41.734,-72.55
"13",41.734,-72.55
"13",41.734,-72.55
"18",41.962,-72.018
"18",41.962,-72.018
"19",41.962,-72.018
"18",41.87,-71.988
"18",41.87,-71.988
"18",41.87,-71.988
"8",41.79,-72.668
"8",41.79,-72.668
"8",41.79,-72.668
"8",41.79,-72.668
"8",41.79,-72.668
"8",41.79,-72.668
"19",41.841,-72.208
"19",41.841,-72.208
"19",41.841,-72.208
"1",41.981,-73.418
"1",41.981,-73.418
"1",41.981,-73.418
"5",41.554,-73.372
"5",41.554,-73.372
"5",41.554,-73.372
"1",41.803,-73.163
"1",41.803,-73.163
"1",41.803,-73.163
"1",41.803,-73.163
"1",41.803,-73.163
"1",41.803,-73.163
"1",41.992,-73.04
"1",41.992,-73.04
"1",41.992,-73.04
"8",41.818,-72.765
"8",41.818,-72.765
"8",41.818,-72.765
"2",41.799,-72.888
"2",41.799,-72.888
"2",41.799,-72.888
"19",41.987,-72.261
"19",41.987,-72.261
"19",41.987,-72.261
"18",42.011,-71.852
"18",42.011,-71.852
"18",42.011,-71.852
"2",41.998,-72.888
"1",41.998,-72.888
"1",41.998,-72.888
"18",41.871,-72.065
"19",41.871,-72.065
"19",41.871,-72.065
"1",41.979,-72.982
"1",41.979,-72.982
"1",41.979,-72.982
"19",41.625,-72.156
"18",41.625,-72.156
"19",41.625,-72.156
"2",41.649,-72.902
"2",41.649,-72.902
"2",41.649,-72.902
"11",41.309,-72.614
"11",41.309,-72.614
"11",41.309,-72.614
"1",41.781,-73.136
"1",41.781,-73.136
"1",41.781,-73.136
"18",41.929,-71.81
"18",41.929,-71.81
"18",41.929,-71.81
"12",41.308,-72.224
"12",41.308,-72.224
"12",41.308,-72.224
"12",41.33,-72.167
"12",41.33,-72.167
"12",41.33,-72.167
"12",41.33,-72.167
"12",41.33,-72.167
"12",41.33,-72.167
"5",41.467,-73.334
"5",41.467,-73.334
"5",41.467,-73.334
"2",42.01,-72.866
"2",42.01,-72.866
