cluster_membership,lat_round,lon_round,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
19,41.979,-72.094,18,9,10,11,14,11,3,16,3,16,2,5,3,9,2,0
19,41.979,-72.094,18,13,10,11,14,7,3,16,3,8,2,3,16,7,19,0
13,41.586,-72.714,19,3,19,18,18,18,5,12,14,17,0,10,8,3,1,14
13,41.586,-72.714,19,3,19,18,18,18,17,12,14,17,0,16,8,3,1,14
13,41.586,-72.714,19,3,19,18,10,6,0,8,9,10,17,17,0,11,9,14
19,41.803,-72.249,18,13,17,6,14,11,3,16,3,8,2,3,16,7,2,8
19,41.803,-72.249,18,13,17,6,7,7,13,0,0,16,6,5,3,17,2,8
19,41.803,-72.249,18,13,17,11,14,7,13,0,0,16,15,15,11,17,17,8
19,41.803,-72.249,18,13,10,6,3,7,13,2,10,13,16,5,3,9,2,8
19,41.803,-72.249,18,13,10,11,14,7,13,0,10,16,16,5,3,9,2,8
19,41.803,-72.249,18,13,17,6,7,2,13,2,10,13,7,18,14,18,14,8
14,41.861,-72.403,18,16,17,6,7,2,10,2,10,13,7,7,14,18,14,8
19,41.861,-72.403,18,16,16,6,7,7,13,2,10,13,7,18,14,18,14,8
14,41.861,-72.403,18,13,4,6,7,7,13,0,10,16,16,5,14,18,14,8
19,41.985,-72.192,18,13,17,6,7,7,10,2,10,13,7,18,14,18,14,8
19,41.985,-72.192,18,13,17,6,14,7,3,16,3,16,16,5,3,9,2,8
19,41.985,-72.192,18,13,17,6,7,7,13,2,10,13,7,18,14,18,14,8
19,41.964,-72.305,18,13,16,9,7,2,10,17,6,15,13,7,9,14,4,8
19,41.964,-72.305,18,13,17,6,14,7,3,16,3,16,16,5,3,9,2,8
19,41.964,-72.305,18,13,17,6,7,7,13,2,10,13,16,18,14,18,14,8
18,41.89,-71.956,13,9,10,11,14,11,3,16,3,16,16,5,3,9,2,0
18,41.89,-71.956,13,9,10,11,14,11,3,16,3,16,16,15,14,18,14,0
18,41.89,-71.956,13,9,17,11,14,7,13,16,3,16,16,18,14,18,14,0
18,41.89,-71.956,13,9,10,11,14,11,3,16,3,16,16,5,3,9,2,0
18,41.89,-71.956,13,9,10,11,14,7,13,16,3,16,16,5,14,18,14,0
18,41.89,-71.956,13,9,10,11,14,11,3,16,3,16,16,18,14,18,14,0
19,41.721,-72.218,2,13,17,6,7,15,2,2,10,1,6,15,14,18,17,19
19,41.721,-72.218,2,13,17,6,3,7,13,0,0,1,6,15,11,17,17,19
19,41.721,-72.218,2,13,17,6,7,7,13,0,10,16,7,18,14,18,4,19
19,41.721,-72.218,2,13,17,6,3,8,13,0,0,16,16,15,14,18,2,19
19,41.721,-72.218,2,9,10,11,14,11,3,0,3,16,15,11,11,17,17,19
19,41.721,-72.218,2,13,17,6,3,15,13,0,10,1,6,15,0,0,17,19
18,41.979,-71.852,13,9,10,11,14,11,3,16,17,8,2,5,3,7,19,0
18,41.979,-71.852,13,9,10,11,14,7,13,2,10,16,16,5,3,9,14,0
18,41.979,-71.852,13,9,10,11,14,11,3,16,3,16,16,5,3,9,2,0
18,41.587,-72.489,11,0,19,18,18,6,17,12,14,17,0,10,8,3,1,14
18,41.587,-72.489,11,11,15,8,9,13,6,0,0,1,6,15,11,17,17,14
18,41.587,-72.489,11,11,4,0,3,8,6,11,0,14,11,6,19,12,15,14
2,41.673,-72.855,14,10,14,2,18,18,17,3,14,17,0,10,8,14,6,18
15,41.673,-72.855,14,3,1,17,17,18,5,12,2,17,0,10,8,1,1,18
2,41.673,-72.855,14,14,1,17,6,1,5,18,11,17,8,4,1,8,18,18
15,41.673,-72.855,14,3,19,18,1,6,0,12,14,17,0,10,8,3,1,18
2,41.649,-72.948,14,3,19,18,18,18,5,12,14,17,0,10,8,8,8,18
2,41.649,-72.948,14,14,1,17,6,18,5,18,11,4,10,10,8,3,1,18
2,41.649,-72.948,14,3,1,18,18,6,17,12,9,10,17,1,8,3,1,18
2,41.649,-72.948,14,14,1,17,6,1,19,6,19,4,10,2,13,1,11,18
2,41.649,-72.948,14,3,1,17,18,6,0,12,14,17,0,10,8,3,1,18
2,41.649,-72.948,14,14,1,17,8,1,9,6,19,19,0,10,8,3,1,18
1,41.693,-73.054,14,14,11,4,8,1,19,6,19,4,10,2,13,1,11,12
2,41.693,-73.054,14,14,7,12,17,9,1,15,12,19,19,16,4,10,10,12
10,41.693,-73.054,14,14,0,15,0,12,1,15,12,0,5,13,18,13,0,12
1,41.693,-73.054,14,14,7,17,18,6,17,17,6,15,13,1,0,0,6,12
2,41.693,-73.054,14,14,7,12,17,9,9,17,14,15,19,16,4,10,10,12
10,41.693,-73.054,14,14,7,12,17,18,9,3,2,19,10,2,8,3,1,12
1,41.788,-73.093,12,6,7,2,17,14,17,17,9,1,17,1,0,14,4,5
1,41.788,-73.093,12,6,0,12,8,9,1,15,12,0,5,13,18,13,0,5
1,41.788,-73.093,12,6,0,15,8,1,19,6,19,4,19,2,8,3,1,5
1,41.788,-73.093,12,7,14,18,18,6,5,12,14,17,17,10,8,3,1,5
1,41.788,-73.093,12,6,0,15,0,9,9,3,2,19,19,2,18,13,0,5
1,41.788,-73.093,12,6,0,12,17,9,9,3,2,19,19,16,4,10,10,5
19,41.952,-72.195,18,13,10,11,14,7,13,16,3,16,16,18,14,18,14,8
19,41.952,-72.195,18,13,17,6,7,7,13,0,0,16,16,15,14,18,14,8
19,41.952,-72.195,18,13,10,11,14,7,3,16,3,16,16,5,3,9,2,8
1,41.632,-73.367,16,2,11,17,6,4,5,18,11,12,10,2,13,8,11,1
5,41.632,-73.367,16,17,8,14,8,12,19,6,12,0,10,13,18,1,0,1
5,41.632,-73.367,16,17,8,15,0,1,19,6,12,0,5,2,13,1,11,1
20,41.56,-72.947,14,14,19,3,10,4,0,4,11,6,11,6,15,11,9,7
20,41.56,-72.947,14,3,19,18,10,4,0,4,18,10,17,6,15,11,18,7
20,41.56,-72.947,14,3,19,16,1,6,0,12,14,10,17,1,0,0,6,7
20,41.56,-72.947,14,3,19,18,10,6,0,9,13,6,11,6,12,5,9,7
20,41.56,-72.947,14,14,1,17,8,1,5,3,14,17,17,10,8,3,1,7
10,41.56,-72.947,14,3,19,8,10,6,0,4,14,17,17,17,8,3,1,7
2,41.761,-72.887,7,7,7,12,17,18,9,3,2,15,13,16,4,10,4,10
2,41.761,-72.887,7,7,7,2,18,14,9,3,2,19,0,16,4,10,10,10
2,41.761,-72.887,7,7,7,12,17,9,5,3,19,17,0,10,8,11,1,10
10,41.663,-73.074,3,14,7,12,6,18,5,18,19,17,8,10,1,8,11,12
10,41.663,-73.074,3,14,11,4,8,1,19,6,19,0,5,9,10,6,11,12
10,41.663,-73.074,3,14,11,15,17,9,19,3,2,19,10,10,13,1,1,12
18,41.772,-71.856,13,9,10,11,14,11,3,16,3,8,2,5,3,9,2,0
18,41.772,-71.856,13,9,10,11,14,11,3,16,17,8,2,5,3,9,2,0
18,41.772,-71.856,13,9,10,11,14,7,3,16,3,16,16,18,14,18,14,0
19,41.69,-72.163,2,13,17,6,3,7,13,2,10,13,7,7,9,0,6,19
19,41.69,-72.163,2,13,17,6,3,7,13,0,3,16,16,5,3,9,2,19
19,41.69,-72.163,2,13,5,6,3,15,2,0,13,6,11,6,12,5,9,19
19,41.683,-72.216,2,13,17,6,3,15,13,2,0,16,2,5,3,9,15,19
19,41.683,-72.216,2,13,17,6,3,7,13,0,0,16,15,5,3,9,2,19
19,41.683,-72.216,2,13,17,6,3,15,2,2,10,13,7,1,0,0,6,19
19,41.683,-72.216,2,13,17,6,7,15,13,2,10,13,16,18,3,9,14,19
19,41.683,-72.216,2,13,17,6,7,15,13,2,10,13,7,7,9,14,4,19
19,41.683,-72.216,2,11,17,6,3,7,13,0,0,1,16,5,11,17,17,19
13,41.581,-72.624,19,3,19,18,18,18,5,8,9,10,17,17,15,11,18,14
13,41.581,-72.624,19,3,19,18,18,6,2,8,10,1,6,15,14,18,14,14
13,41.581,-72.624,19,3,19,18,18,6,0,8,0,1,6,1,0,0,6,14
14,41.803,-72.441,11,0,17,6,7,15,13,2,10,13,7,18,14,18,14,8
19,41.803,-72.441,11,0,16,9,4,2,10,2,9,13,13,7,9,14,4,8
19,41.803,-72.441,11,0,4,9,1,14,2,8,9,15,13,1,8,0,6,8
14,41.776,-72.521,11,0,16,9,7,7,13,2,10,16,16,18,14,17,14,4
14,41.776,-72.521,11,13,17,6,3,7,13,0,10,13,7,18,14,18,14,4
14,41.776,-72.521,11,0,16,16,3,7,13,0,10,16,16,15,3,9,2,4
1,41.922,-73.049,7,7,7,12,4,2,2,8,10,13,7,1,0,0,17,5
1,41.922,-73.049,7,6,7,12,17,9,9,3,2,19,19,16,4,10,10,5
1,41.922,-73.049,7,6,0,15,17,9,9,3,2,19,19,16,4,10,10,5
1,41.922,-73.049,7,6,7,2,4,14,17,17,10,13,7,7,9,14,4,5
1,41.922,-73.049,7,6,0,12,0,12,1,15,12,0,5,13,18,13,0,5
